SampleTime,Phase,Sensor1,Sensor2,Sensor3,IJ,Sensor5,Sensor6,MouldTemp1,MouldTemp2,MouldTemp3,MouldTemp4,MouldTemp5,MouldTemp9,MouldTemp10,MouldTemp11,MouldTemp12,MouldTemp13,MouldTemp14,Sensor8,MouldFlow1,MouldFlow2,MouldFlow3,SP
0.0,1,20.328,6.159,5.102,86.374,92.39399999999999,91.655,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.715,13.529,5,5,5,104.699
0.05,1,20.006999999999998,5.982,5.125,60.638000000000005,92.668,91.775,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.704,14.324,5,5,5,104.697
0.1,1,20.094,6.104,5.077,36.974000000000004,91.97800000000001,91.473,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.70100000000001,13.857999999999999,5,5,5,104.70299999999999
0.15,1,19.879,6.372,5.067,24.394000000000002,92.013,91.473,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,13.316,5,5,5,104.699
0.2,1,19.576,6.094,5.192,11.908999999999999,92.428,91.564,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,15.231,5,5,5,104.709
0.25,1,19.786,6.193,5.185,34.039,92.325,91.805,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,13.832,5,5,5,104.694
0.3,1,20.174,6.112,5.06,36.197,92.39399999999999,91.685,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,14.637,5,5,5,104.7
0.35,1,19.750999999999998,6.021,5.087,33.185,92.325,91.925,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,16.475,5,5,5,104.70299999999999
0.4,1,19.599,5.782,5.12,45.404,92.6,92.281,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,16.546,5,5,5,104.70700000000001
0.45,1,20.028,5.929,5.021,63.573,92.702,91.925,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,18.209000000000003,5,5,5,104.70299999999999
0.5,1,19.524,6.455,5.038,64.547,93.108,92.692,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,17.926,5,5,5,104.706
0.55,1,19.91,6.047,5.218,59.993,92.804,92.953,64.9,54.9,29.7,98.8,69.4,90.0,97.5,89.7,95.4,92.4,95.7,19.517000000000003,5,5,5,104.695
0.6,1,19.403,6.068,5.034,57.098,93.209,92.982,64.9,54.9,29.7,98.8,69.4,89.847,97.5,89.7,95.4,92.4,95.7,18.720999999999997,5,5,5,104.70200000000001
0.65,1,19.990000000000002,6.08,5.217,51.693999999999996,93.443,93.069,64.9,54.9,29.7,98.8,69.4,89.811,97.5,89.7,95.4,92.4,95.7,19.668,5,5,5,104.696
0.7,1,19.942999999999998,6.059,5.187,29.087,93.27600000000001,93.241,64.9,54.9,29.7,98.8,69.4,89.803,97.5,89.7,95.4,92.4,95.7,18.880000000000003,5,5,5,104.695
0.75,1,19.469,5.849,5.182,14.484,93.905,93.47,64.9,54.9,29.7,98.8,69.4,89.801,97.5,89.7,95.4,92.4,95.7,19.776,5,5,5,104.684
0.8,1,19.761,5.921,5.081,21.848,93.938,93.584,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.4,95.7,19.067,5,5,5,104.69200000000001
0.85,1,20.295,6.013,5.159,18.704,93.806,93.612,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.4,95.7,19.752000000000002,5,5,5,104.69
0.9,1,19.891,6.556,5.202,30.272,93.97,93.866,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.4,95.7,19.237000000000002,5,5,5,104.706
0.95,1,19.989,6.1370000000000005,5.225,22.565,94.003,93.725,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.4,95.7,20.017000000000003,5,5,5,104.695
1.0,1,19.679000000000002,6.218,5.088,23.469,94.036,93.979,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.4,95.7,19.247999999999998,5,5,5,104.705
1.05,1,20.25,5.72,5.036,26.971999999999998,94.101,94.23,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.298,95.7,19.907,5,5,5,104.69200000000001
1.1,1,19.944000000000003,5.834,5.104,26.938000000000002,94.296,94.258,64.9,54.9,29.7,98.8,69.4,89.8,97.5,89.7,95.4,92.223,95.7,19.457,5,5,5,104.7
1.15,1,20.172,5.995,5.095,26.585,94.296,94.007,64.9,54.9,29.7,98.8,69.4,89.8,97.413,89.613,95.4,92.206,95.7,19.975,5,5,5,104.693
1.2,1,19.768,5.858,5.185,27.043000000000003,94.263,94.285,64.9,54.9,29.7,98.8,69.4,89.8,97.32700000000001,89.527,95.4,92.20100000000001,95.7,19.333,5,5,5,104.70299999999999
1.25,1,19.836,6.174,5.087,26.843000000000004,94.425,94.23,64.9,54.9,29.7,98.8,69.4,89.8,97.306,89.506,95.4,92.2,95.7,19.945999999999998,5,5,5,104.698
1.3,1,19.703,6.127,5.13,26.804000000000002,94.586,94.23,64.9,54.9,29.7,98.8,69.4,89.8,97.301,89.501,95.4,92.2,95.7,20.177999999999997,5,5,5,104.70100000000001
1.35,1,19.979,6.216,5.06,26.57,94.393,94.369,64.9,54.9,29.7,98.8,69.4,89.8,97.3,89.5,95.4,92.2,95.7,18.975,5,5,5,104.691
1.4,1,19.636,6.038,5.08,26.709,94.393,94.535,64.9,54.9,29.7,98.8,69.4,89.8,97.3,89.5,95.4,92.2,95.7,20.441,5,5,5,104.706
1.45,1,19.68,6.368,5.069,26.488000000000003,94.425,94.507,64.9,54.9,29.7,98.8,69.4,89.8,97.3,89.5,95.4,92.2,95.7,19.023,5,5,5,104.695
1.5,1,19.731,6.423,5.213,26.651999999999997,94.425,94.7,64.9,54.9,29.7,98.8,69.4,89.8,97.3,89.5,95.298,92.2,95.7,20.402,5,5,5,104.706
1.55,1,19.518,6.306,5.167,26.151,94.52199999999999,94.479,64.9,54.9,29.7,98.8,69.4,89.8,97.3,89.5,95.223,92.2,95.7,19.059,5,5,5,104.691
1.6,1,19.955,6.066,5.064,26.503,94.52199999999999,94.535,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.206,92.2,95.7,20.219,5,5,5,104.70299999999999
1.65,1,19.692,6.1579999999999995,5.047,25.92,94.48899999999999,94.535,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.20100000000001,92.2,95.7,18.957,5,5,5,104.694
1.7,1,19.875999999999998,5.8759999999999994,5.118,26.348000000000003,94.48899999999999,94.809,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,20.241,5,5,5,104.704
1.75,1,19.423000000000002,6.071,5.276,26.717,94.905,95.163,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.112000000000002,5,5,5,104.698
1.8,1,19.305999999999997,6.322,5.084,26.364,94.84100000000001,95.13600000000001,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,20.667,5,5,5,104.708
1.85,1,19.433,5.836,5.155,25.789,95.126,95.486,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.145,5,5,5,104.698
1.9,1,19.793,6.458,5.015,24.539,95.378,95.405,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,20.334000000000003,5,5,5,104.712
1.95,1,19.84,6.086,5.102,24.66,95.158,95.62,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.25,5,5,5,104.689
2.0,1,19.759999999999998,6.041,5.283,24.587,95.252,95.7,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,20.438,5,5,5,104.704
2.05,1,19.810000000000002,6.199,5.243,23.913,94.968,95.513,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.250999999999998,5,5,5,104.68799999999999
2.1,1,19.679000000000002,6.268,5.194,23.875,95.252,95.806,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,20.404000000000003,5,5,5,104.70299999999999
2.15,1,19.634,6.318,5.261,23.23,95.28399999999999,95.91199999999999,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.192,5,5,5,104.69
2.2,1,19.665999999999997,6.446,5.323,23.366,95.346,95.939,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,20.308,5,5,5,104.70299999999999
2.25,1,19.851,6.221,5.1,24.611,95.252,95.513,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.11,5,5,5,104.694
2.3,1,20.061,6.174,5.043,24.413,95.315,95.646,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.7,19.880000000000003,5,5,5,104.70700000000001
2.35,1,19.901,6.655,5.198,23.512,95.315,95.91199999999999,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.555,19.567,5,5,5,104.696
2.4,1,19.651,6.164,5.043,23.855999999999998,95.189,95.405,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.513,20.017000000000003,5,5,5,104.706
2.45,1,19.636,5.897,5.143,41.099000000000004,95.28399999999999,95.325,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.503,19.722,5,5,5,104.675
2.5,1,19.922,6.366,5.081,67.326,95.032,94.86399999999999,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.501,19.813,5,5,5,104.698
2.55,1,19.735,6.515,5.254,101.634,95.221,95.298,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.41,5,5,5,104.68700000000001
2.6,1,19.668,6.305,5.064,134.56,95.378,95.405,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,20.058,5,5,5,104.705
2.65,1,19.979,5.79,5.066,159.89,95.032,95.459,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.438,5,5,5,104.685
2.7,1,19.64,6.061,5.173,175.908,95.063,95.432,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.934,5,5,5,104.684
2.75,1,19.737000000000002,5.6690000000000005,5.107,179.613,95.095,95.486,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.436,5,5,5,104.67299999999999
2.8,1,19.61,5.971,5.053,175.15900000000002,95.158,95.298,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.896,5,5,5,104.68
2.85,1,19.351,5.776,5.165,154.904,95.126,95.217,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.489,5,5,5,104.67399999999999
2.9,1,19.794,5.95,5.287,127.152,95.471,95.459,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,20.036,5,5,5,104.698
2.95,1,19.494,6.046,5.158,95.236,95.346,95.459,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,19.375999999999998,5,5,5,104.67299999999999
3.0,1,19.814999999999998,5.889,5.065,71.028,95.40899999999999,95.726,64.9,55.0,29.7,98.7,69.5,89.8,97.3,89.5,95.2,92.2,95.5,20.136,5,5,5,104.69
