SampleTime,Phase,Sensor1,Sensor2,Sensor3,IJ,Sensor5,Sensor6,MouldTemp1,MouldTemp2,MouldTemp3,MouldTemp4,MouldTemp5,MouldTemp9,MouldTemp10,MouldTemp11,MouldTemp12,MouldTemp13,MouldTemp14,Sensor8,MouldFlow1,MouldFlow2,MouldFlow3,SP
0.0,1,14.88,5.52,5.09,5.0,92.926,95.08800000000001,79.7,35.2,66.033,52.703,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.642,5.0,5.0,104.626
0.05,1,14.578,5.555,5.136,5.0,93.197,95.117,79.7,35.2,66.279,52.701,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.605,5.0,5.0,104.62100000000001
0.1,1,14.854,5.438,5.005,5.0,92.721,95.40899999999999,79.7,35.2,66.473,52.7,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.796,5.0,5.0,104.62
0.15,1,15.228,5.524,5.115,5.0,92.686,95.176,79.7,35.2,66.639,52.675,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.498999999999999,5.0,5.0,104.616
0.2,1,14.562999999999999,5.478,5.095,5.0,92.618,95.14699999999999,79.7,35.2,66.762,52.542,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.192,5.0,5.0,104.62899999999999
0.25,1,14.965,5.455,5.132,5.0,92.618,94.764,79.7,35.2,66.985,52.51,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,11.838,5.0,5.0,104.619
0.3,1,14.852,5.455,5.097,5.0,92.54899999999999,95.059,79.7,35.2,67.098,52.501999999999995,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.029,5.0,5.0,104.626
0.35,1,14.902000000000001,5.465,5.24,5.0,92.994,95.205,79.7,35.2,67.252,52.501,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.517,5.0,5.0,104.62700000000001
0.4,1,14.766,5.462,5.035,5.0,93.12899999999999,95.438,79.7,35.2,67.43299999999999,52.5,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.715,5.0,5.0,104.62200000000001
0.45,1,14.765,5.577,5.063,5.0,93.028,95.38,79.7,35.2,67.6,52.5,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.951,5.0,5.0,104.62899999999999
0.5,1,15.262,5.466,5.009,5.0,93.095,95.205,79.7,35.2,67.77799999999999,52.45,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.777000000000001,5.0,5.0,104.639
0.55,1,14.847999999999999,5.727,5.131,5.0,93.533,95.351,79.7,35.2,67.94,52.336,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.779,5.0,5.0,104.633
0.6,1,15.035,5.506,5.098,5.0,93.59899999999999,95.641,79.7,35.2,68.062,52.308,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.896,5.0,5.0,104.624
0.65,1,15.145,5.575,5.075,5.0,93.898,95.322,79.7,35.2,68.244,52.302,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.733,5.0,5.0,104.626
0.7,1,15.05,5.486,5.055,5.0,94.029,95.08800000000001,79.7,35.2,68.446,52.3,15.0,93.0,89.9,812.6,15.0,93.0,89.4,5.0,12.086,5.0,5.0,104.62
